GDPR Compliance Notice: Personal information of EU residents are no longer included. Visit https://builtwith.com/compliance for options and more information.
Domain,Location on Site,Tech Spend USD,Company,Vertical,Quantcast,Alexa,Majestic,Umbrella,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,Exclusion,GDPR
"nesn.com","nesn.com","$10000","NESN","Sports","440","2406","11161","10315","ph:+1-617-536-9233;+1-617-536-7814","sports@nesn.com;online@nesn.com;tech@nesn.com;nesncomhelp@nesn.com;nesngohelp@nesn.com","https://twitter.com/nesncareers","","","","","","","","","","","Watertown","MA","02472","US","2017-10-05","2019-06-23","2011-01-03","2019-06-23","-","Non-EU"
"newegg.com","newegg.com","$10000","Newegg Inc","Technology And Computing","563","611","1461","5088","ph:+1-800-405-7875;+1-615-844-1226;+1-800-390-1119","webmaster@newegg.com;promo@e.newegg.com;newsletter@newegg.com;wecare@newegg.com;master@newegg.com;james.j.merk@newegg.com;kc@newegg.com;er@newegg.com;bmaster@newegg.com;joshua.l.key@newegg.com;aster@newegg.com;boole.z.guo@newegg.com;shipping@newegg.com;ster@newegg.com;ter@newegg.com;john.y.gao@newegg.com;weee@newegg.com;publicimage@newegg.com;kerriganhodnett@newegg.com;intelsandybridge@newegg.com;service@newegg.com;promo@promo.newegg.com","https://twitter.com/newegg","https://facebook.com/newegg","https://linkedin.com/company/newegg-com","https://google.com/+newegg","https://pinterest.com/newegg","","https://instagram.com/newegg","","","https://youtube.com/user/newegg","Christopher Thompson - Unknown - cthompson@newegg.com","Whittier","CA","90601","US","2018-12-12","2019-06-12","2011-01-03","2019-06-23","-","Non-EU"
"newsweek.com","newsweek.com","$5000","Newsweek","Business And Industrial","571","2300","343","5749","ph:","letters@newsweek.com;submissions@newsweek.com;media@newsweek.com;support@newsweek.com","https://twitter.com/newsweek","https://facebook.com/newsweek","https://linkedin.com/company/newsweek","https://google.com/+newsweekmag","","","https://instagram.com/newsweek","","","","N/A - Designer - n/a@newsweek.com; N/A - Engineering - n/a@newsweek.com; N/A - Other - n/a@newsweek.com; N/A - Marketing - n/a@newsweek.com; N/A - Sales - n/a@newsweek.com; N/A - Director - n/a@newsweek.com; N/A - Manager - n/a@newsweek.com; N/A - President - n/a@newsweek.com; N/A - Csuite - n/a@newsweek.com","","11609024","E14","GB","2016-02-17","2019-05-26","2011-01-03","2019-06-23","-","United Kingdom"
"newyorker.com","newyorker.com","$10000","The New Yorker","Art And Entertainment","1000","2713","263","2848","ph:+1-515-243-3273;+1-800-444-7570;+1-800-952-5210;+1-212-286-2860","themail@newyorker.com;fiction@newyorker.com;help@newyorker.com;nick_lemann@newyorker.com;joe_klein@newyorker.com;jane_mayer@newyorker.com;david_remnick@newyorker.com;shouts@newyorker.com;webcomments@newyorker.com;subscriptions@newyorker.com;jaime_leifer@newyorker.com;emily_kan@newyorker.com;poetry@newyorker.com;asktheauthor@newyorker.com;marii_sebahar@newyorker.com;newsbreaks@newyorker.com;cookman_campbell@newyorker.com;talkofthetown@newyorker.com;jacob_lewis@newyorker.com;patti_chapman@newyorker.com;afiction@newyorker.com","https://twitter.com/newyorker","https://facebook.com/newyorker","","https://google.com/+newyorker","","","https://instagram.com/newyorkermag","","","https://youtube.com/user/newyorkerdotcom","Ben Thompson - Analyst - noemail; Lauren Effron - Director - noemail; Colin Connor - Director - noemail; Dayana Azuaje - Manager - noemail","New York City","NY","10007","US","2016-06-29","2019-06-23","2011-01-03","2019-06-26","-","Non-EU"
"nfl.com","nfl.com","$10000","NFL Enterprises LLC","Technology And Computing","248","3012","1102","2989","ph:+1-212-450-2528;+1-916-445-1254;+1-800-735-0274;+1-202-838-0778;+1-252-227-7013;+1-866-235-7909","gamepass.support@nfl.com;nflgamepass.support@nfl.com;nflprivacy@nfl.com;caprivacyrights@nfl.com;notices@nfl.com;nflrushsafety@nfl.com;brian.mccarthy@nfl.com;roger.goodell@nfl.com;askvic@nfl.com;clare.graff@nfl.com;joanna.hunter@nfl.com;askfabiano@nfl.com;mike.huguenin@nfl.com;nfl.auction@nfl.com;enquiries@nfl.com;alan.kendall@nfl.com;playbook@nfl.com;darlene.capiro@nfl.com;dan.masonson@nfl.com;sabol.nflfilms@nfl.com;dmcaagent@nfl.com;community@nfl.com","https://twitter.com/nflmobilecs","https://facebook.com/nflauction","","","","","https://instagram.com/nflup","","","","","New York City","NY","10154","US","2016-06-27","2019-06-01","2011-01-03","2019-06-25","-","Non-EU"
"nydailynews.com","nydailynews.com","$10000","New York Daily News","Business And Industrial","43","2624","342","5666","ph:+1-212-210-6305;+1-855-455-9140;+1-212-210-2004;+1-800-377-0172;+1-212-210-2100;+1-312-222-4567;+1-516-686-6358;+1-347-469-5047","webmaster@nydailynews.com;legal@nydailynews.com;jkemp@nydailynews.com;lgoldberg@nydailynews.com;jlemire@nydailynews.com;eeinhorn@nydailynews.com;ckatz@nydailynews.com;badams@nydailynews.com;epearson@nydailynews.com;rschapiro@nydailynews.com;jmeek@nydailynews.com;csiemaszko@nydailynews.com;lmcshane@nydailynews.com;mmehta@nydailynews.com;rparascandola@nydailynews.com;voicers@nydailynews.com;apps@nydailynews.com;agendar@nydailynews.com;jgonzalez@nydailynews.com;lcolangelo@nydailynews.com;lbrancato@nydailynews.com;photosales@nydailynews.com;circulation_customer_service@nydailynews.com;product@nydailynews.com;amartino@nydailynews.com;customerservice@nydailynews.com;dsarko@nydailynews.com;lbrown@nydailynews.com;bizdev@nydailynews.com","https://twitter.com/nydailynews","https://facebook.com/nydailynews","","","https://pinterest.com/nydailynews","","https://instagram.com/nydailynews","","","https://youtube.com/user/nydailynews","Jeffrey Mariano - Designer - jmariano@nydailynews.com; Andrew Reale - Bizdev - areale@nydailynews.com; Jeff Vacca - Software - jvacca@nydailynews.com; David Maddocks - Marketing - dmaddocks@nydailynews.com; Paul Kim - Director - pkim@nydailynews.com; Kristen Lee - Director - klee@nydailynews.com; Melanie Schnuriger - Director - mschnuriger@nydailynews.com; Eric Gertler - Board - egertler@nydailynews.com; Jeanne Straus - President - jstraus@nydailynews.com; Carly Fiorina - Csuite - cfiorina@nydailynews.com; Tina Rosenberg - Founder - trosenberg@nydailynews.com","New York City","NY","10004","US","2016-03-20","2019-06-18","2011-01-03","2019-06-23","-","Non-EU"
"nytimes.com","nytimes.com","$10000","The New York Times","Business And Industrial","125","127","29","955","ph:+1-212-556-7777;+1-866-776-3698;+1-844-698-6397;+1-800-639-2277;+1-212-556-8997;+1-212-556-8034;+1-800-238-4637;+1-800-631-8275","nytnews@nytimes.com;customercare@nytimes.com;circulation@nytimes.com;techfeedback@nytimes.com;kerrie@nytimes.com;opt-out@nytimes.com;feedback@nytimes.com","https://twitter.com/nytimesatwar","https://facebook.com/nytimesstore","","","","https://github.com/nytimes","","","","","Arthur Sulzberger - Board - noemail; David Perpich - President - noemail","Davenport","IA","52808","US","2016-09-01","2019-06-16","2011-01-03","2019-06-26","-","Non-EU"
"observer.com","observer.com","$10000","Observer LLC","Finance","1743","26898","1565","23744","ph:+1-212-407-9375;+1-800-796-9876;+1-212-407-9367;+1-800-571-7363","rreiss@observer.com;legalads@observer.com;glillie@observer.com;sales@observer.com;billing@observer.com;editorial@observer.com;tech@observer.com;rreed@observer.com;tips@observer.com","https://twitter.com/observer","https://facebook.com/observer","https://linkedin.com/company/observer-media","https://google.com/+observermedia","","","https://instagram.com/observer","","","","Kaitlyn Flannagan - Bizdev - kflannagan@observer.com","New York City","NY","10036","US","2017-04-01","2019-06-23","2011-01-03","2019-06-23","-","Non-EU"
"oregonlive.com","oregonlive.com","$10000","Oregon Live LLC","Food And Drink","326","6545","1048","9528","ph:+1-212-743-6590;+1-503-221-8240;+1-800-778-7879","comments@oregonlive.com","https://twitter.com/oregonian","https://facebook.com/theoregonian","https://linkedin.com/company/the-oregonian","https://google.com/+oregonian","https://pinterest.com/theoregonian","","https://instagram.com/theoregonian","","","https://youtube.com/user/oregoniannews","","New York City","NY","10007","US","2017-06-05","2019-06-23","2011-01-03","2019-06-23","-","Non-EU"
"outdoorchannel.com","outdoorchannel.com","$10000","Outdoor Sportsman Group","Sports","706","43508","67203","104131","ph:+1-212-986-6667;+1-646-745-1736;+1-951-217-0663;+1-212-852-6600","advertisingsales@outdoorchannel.com;tchiniaeff@outdoorchannel.com;vhall@outdoorchannel.com;allisonh@outdoorchannel.com;rgroth@outdoorchannel.com;tallen@outdoorchannel.com;mdent@outdoorchannel.com;adandrea@outdoorchannel.com;jdunn@outdoorchannel.com;rwalsh@outdoorchannel.com;scerny@outdoorchannel.com;khansen@outdoorchannel.com;tlawrence@outdoorchannel.com;pweaver@outdoorchannel.com;rcooper@outdoorchannel.com;ssmith@outdoorchannel.com;betty@outdoorchannel.com;corps@outdoorchannel.com;newsreleases@outdoorchannel.com;mbane@outdoorchannel.com;news@outdoorchannel.com;info@outdoorchannel.com","","https://facebook.com/outdoorchannel","","https://google.com/+outdoorchannel","https://pinterest.com/outdoorchannel","","","","","https://youtube.com/user/outdoorchannel","Allison Hill - Other - ahill@outdoorchannel.com; Amanda Glatter - Other - aglatter@outdoorchannel.com; Rich Walsh - Other - rwalsh@outdoorchannel.com; Sarah Walter - Other - swalter@outdoorchannel.com; Jessica Dunn - Other - jdunn@outdoorchannel.com; Bill Osborn - Marketing - bosborn@outdoorchannel.com; Katy Hansen - Sales - khansen@outdoorchannel.com; Russell Cooper - Director - rcooper@outdoorchannel.com; Nathan Holm - Director - nholm@outdoorchannel.com; Rebecca Groth - Manager - rgroth@outdoorchannel.com; Michele Dent - Manager - mdent@outdoorchannel.com; Teresa Chiniaeff - President - tchiniaeff@outdoorchannel.com; Tom Lawrence - President - tlawrence@outdoorchannel.com; Stacy Cerny - President - scerny@outdoorchannel.com; Jason Brist - President - jbrist@outdoorchannel.com; Mitch Petrie - President - mpetrie@outdoorchannel.com","Brownwood","TX","76804","US","2018-06-14","2019-06-23","2011-01-03","2019-06-25","-","Non-EU"
"techcrunch.com","techcrunch.com","$10000","TechCrunch","Technology And Computing","2391","1524","127","5226","ph:+1-800-605-3561","advertise@techcrunch.com;joey+advertise@techcrunch.com;shu@techcrunch.com;tips@techcrunch.com;webmaster@techcrunch.com;startupalley@techcrunch.com;jordan@techcrunch.com;crunchies@techcrunch.com;jeanne@techcrunch.com;john@techcrunch.com;askavc@techcrunch.com;heather@techcrunch.com;sponsors@techcrunch.com;battlefield@techcrunch.com;drew@techcrunch.com;matthew@techcrunch.com;anthony+tcbucket@techcrunch.com;sarah@techcrunch.com;dan@techcrunch.com;elin@techcrunch.com;fitz@techcrunch.com;haje@techcrunch.com;lucas@techcrunch.com;pressinquiries@techcrunch.com;events@techcrunch.com;insider@techcrunch.com;kate.clark@techcrunch.com;anthonyha@techcrunch.com","https://twitter.com/techcrunch","https://facebook.com/techcrunch","https://linkedin.com/company/techcrunch","https://google.com/+techcrunch","https://pinterest.com/techcrunch","","https://instagram.com/techcrunch","","","https://youtube.com/user/techcrunch","Tony Sala - Other - tony@techcrunch.com; Jesse Chambers - Director - jesse@techcrunch.com; Travis Bernard - Director - travis@techcrunch.com; Joey Hinson - Manager - joey@techcrunch.com; Emma Williams - President - emma@techcrunch.com; Tim Armstrong - Csuite - tim@techcrunch.com; Drew Houston - Csuite - drew@techcrunch.com; Ned Desmond - Csuite - ned@techcrunch.com","Columbus","OH","43230","US","2016-03-20","2019-06-21","2011-01-03","2019-06-26","-","Non-EU"
"techradar.com","techradar.com/*","$10000","Future US Inc","Technology And Computing","2622","689","788","4719","ph:+44-30-01232220","news@techradar.com;team@techradar.com","","https://facebook.com/techradar","","https://google.com/+techradar","","","","","","https://youtube.com/user/techradar","Bart Jaworski - Unknown - noemail; Matt Swider - Founder - noemail","South San Francisco","CA","94080","US","2017-12-01","2019-06-23","2011-01-03","2019-06-23","-","Non-EU"
"ted.com","ted.com","$10000","TED Conferences LLC","Art And Entertainment","1455","1758","113","5797","ph:+1-212-346-9333","translate@ted.com;tedx@ted.com;registration@ted.com;contact@ted.com;fellows@ted.com;conversations@ted.com;david@ted.com;tedprize@ted.com;deron@ted.com;subtitles@ted.com;live@ted.com;chris@ted.com;tedactive@ted.com;kate@ted.com;tedxpostevent@ted.com;nick@ted.com;ted@ted.com;chris.lost.balloon@ted.com;emily@ted.com;becca@ted.com;dmca@ted.com","https://twitter.com/tedtalks","https://facebook.com/tededucation","https://linkedin.com/company/ted-conferences","","https://pinterest.com/tednews","","https://instagram.com/tededucation","","","https://youtube.com/user/tedtalksdirector","Beth Haubert - Software - beth@ted.com; Sumeet Jain - Software - sumeet@ted.com; Carlos Lopez - Engineering - carlos@ted.com; Celia Berger - Other - celia@ted.com; Jody Mak - Other - jody@ted.com; Nathan Sullivan - Other - nathan@ted.com; Mark Bogdanoff - Other - mark@ted.com; Alex Dean - Other - alex@ted.com; Joshua Warchol - Other - joshua@ted.com; George Riley - Other - george@ted.com; Chris Herbert - Other - chris@ted.com; Christian Omania - Other - christian@ted.com; Michael Twentyman - Other - michael@ted.com; Annie Goodman - Other - annie@ted.com; Laura Malta - Other - laura@ted.com; Stacy Potthoff - Other - stacy@ted.com; Josh Kaufman - Other - josh@ted.com; Jason Bender - Other - jason@ted.com; Kara Tully - Other - kara@ted.com; Sarah Schoengold - Other - sarah@ted.com; Dan Bernier - Other - dan@ted.com; Dan Cormier - Other - dan@ted.com; Joe Bartlett - Other - joe@ted.com; John Hirbour - Other - john@ted.com; Melissa Voegeli - Other - melissa@ted.com; Vince Speelman - Other - vince@ted.com; Tricia Ball - Other - tricia@ted.com; John Cary - Other - john@ted.com; Courtney Martin - Other - courtney@ted.com; Kevin Kwan - Other - kevin@ted.com; Carlos Irigoyen - Marketing - carlos@ted.com; Nidia Batista - Marketing - nidia@ted.com; Mike Jacobson - Director - mike@ted.com; Kelly Stoetzel - Director - kelly@ted.com; Helen Walters - Director - helen@ted.com; Alex Hofmann - Director - alex@ted.com; Kristin Windbigler - Director - kristin@ted.com; Cody Winn - Director - cody@ted.com; Mike Femia - Director - mike@ted.com; Mina Sabet - Director - mina@ted.com; Doug Chilcott - Director - doug@ted.com; Lisa Waks - Director - lisa@ted.com; Dan Russell - Director - dan@ted.com; Jay Herratti - Director - jay@ted.com; Salome Heusel - Director - salome@ted.com; Anna Verghese - Director - anna@ted.com; Logan Smalley - Director - logan@ted.com; Katherine McCartney - Director - katherine@ted.com; Janet McCartney - Director - janet@ted.com; Susan Zimmerman - Manager - susan@ted.com; Peter Cerrato - Manager - peter@ted.com; Jordan Theater - Manager - jordan@ted.com; Angela Cheng - Manager - angela@ted.com; Ella Dawson - Manager - ella@ted.com; Kayla Nalven - Manager - kayla@ted.com; Janet Lee - Manager - janet@ted.com; Ivana Korom - Manager - ivana@ted.com; Helene Batt - Manager - helene@ted.com; Anna Kostuk - Manager - anna@ted.com; Nicole Fratus - Manager - nicole@ted.com; Jason Storbeck - Manager - jason@ted.com; Laura Beyer - Manager - laura@ted.com; Rose Kuo - Manager - rose@ted.com; Will Davis - Manager - will@ted.com; David Rosenberg - Manager - david@ted.com; Sina Sima - Manager - sina@ted.com; Lily Whitsitt - Manager - lily@ted.com; Samantha Kelly - Manager - samantha@ted.com; Bernie Dunlap - President - bernie@ted.com; Tom Valentino - Csuite - tom@ted.com; Lisa Choi - Csuite - lisa@ted.com; Gavin Hall - Csuite - gavin@ted.com; Susie Louis - Founder - susie@ted.com; Christine Harriss - Founder - christine@ted.com; Dan Russell - Other - dan@ted.com","New York City","NY","10013","US","2018-08-29","2019-06-23","2011-01-03","2019-06-23","-","Non-EU"
"thechive.com","thechive.com","$10000","Resignation Media LLC","Food And Drink","144","3872","6580","8087","ph:","submit@thechive.com;bob@thechive.com;rick@thechive.com;gil1117@thechive.com;chivenation@thechive.com","https://twitter.com/thechive","https://facebook.com/thechivenation","","","","","https://instagram.com/thechive","","","","","Manhattan Beach","CA","90266","US","2019-05-11","2019-06-23","2011-01-03","2019-06-26","-","Non-EU"
"thegatewaypundit.com","thegatewaypundit.com","$5000","TheGatewayPundit.com Inc","Law  Govt And Politics","866","7604","8896","15841","ph:","adsales@thegatewaypundit.com","https://twitter.com/gatewaypundit","https://facebook.com/gatewaypundit","","","","","","","","","","","","","","2018-12-29","2019-06-23","2011-09-04","2019-06-23","-","Non-EU"
"theguardian.com","theguardian.com","$10000","Guardian News & Media Ltd","Art And Entertainment","522","190","39","1779","ph:+1-917-261-4904;+1-646-937-5878;+1-212-733-2323;+1-415-919-5874;+1-203-353-2019;+1-203-353-3400;+1-330-333-6767;+1-917-900-4675","pressoffice@theguardian.com;guardian.letters@theguardian.com;reader@theguardian.com;userhelp@theguardian.com;weekly.letters@theguardian.com;graham.snowdon@theguardian.com;blogging.students@theguardian.com;aimee.meade@theguardian.com;adam.boult@theguardian.com;peter.kimpton@theguardian.com;russell.jackson.casual@theguardian.com;localgovnetwork@theguardian.com;dear.jeremy@theguardian.com;voluntarysectornetwork@theguardian.com;weekly.letter.from@theguardian.com;hunter.felt.freelance@theguardian.com;personal.effects@theguardian.com;housingnetwork@theguardian.com;private.lives@theguardian.com;media.enquiries@theguardian.com;usinfo@theguardian.com;membershipsupport@theguardian.com;press.office@theguardian.com;syndication@theguardian.com;rights@theguardian.com;dmca@theguardian.com","https://twitter.com/guardian","https://facebook.com/theguardian","","https://google.com/+theguardian","","https://github.com/guardian","","","","https://youtube.com/user/theguardian","","New York City","NY","10038","US","2016-03-20","2019-06-23","2011-11-06","2019-06-26","-","Non-EU"
"thehill.com","thehill.com","$5000","Capitol Hill Publishing Corp","Law  Govt And Politics","481","1974","632","4173","ph:+1-202-628-8503","jennifery@thehill.com;ads@thehill.com;mhupp@thehill.com;cynthias@thehill.com;pbutler@thehill.com;betsyr@thehill.com;aleisele@thehill.com;egoodin@thehill.com;jmarshall@thehill.com;kwong@thehill.com;tcama@thehill.com;vneedham@thehill.com;mwilson@thehill.com;bgoddard@thehill.com;cmunoz@thehill.com;jherb@thehill.com;jmartinez@thehill.com;sbaker@thehill.com;zcolman@thehill.com;katet@thehill.com;editor@thehill.com;cforrester@thehill.com;jderlega@thehill.com;eburnett@thehill.com;szaid@thehill.com;help@thehill.com;jrotherham@thehill.com;nacharya@thehill.com;kdanna@thehill.com;opinion@thehill.com","https://twitter.com/thehill","https://facebook.com/thehill","","https://google.com/+thehill","","","","","","","Marco Rubio - Other - mrubio@thehill.com; Danielle Sopp - Director - dsopp@thehill.com; David Shulkin - President - dshulkin@thehill.com; Chelsea Manning - President - cmanning@thehill.com; Carl Ferrer - Csuite - cferrer@thehill.com","Washington","DC","20006","US","2018-09-01","2019-06-12","2011-01-03","2019-06-23","-","Non-EU"
"thekitchn.com","thekitchn.com","$10000","Apartment Therapy LLC","Food And Drink","200","3792","2121","10227","ph:","kitchncure@thekitchn.com;cookingcure@thekitchn.com;emma@thekitchn.com;cambria@thekitchn.com;faith@thekitchn.com;sarakate@thekitchn.com;ariel@thekitchn.com;anjali@thekitchn.com;kelli@thekitchn.com;lauren@thekitchn.com;cure@thekitchn.com;kristin@thekitchn.com;christine@thekitchn.com;ristine@thekitchn.com","https://twitter.com/thekitchn","","","https://google.com/+thekitchn","https://pinterest.com/thekitchn","","https://instagram.com/thekitchn","","","","Nikki Little - Analyst - nikki@thekitchn.com; Chang Rodriguez - Designer - chang@thekitchn.com; Laura Hoerner - Designer - laura@thekitchn.com; Tiffany Murphy - Support - tiffany@thekitchn.com; Maggie Lambert - Account - maggie@thekitchn.com; Leandra Levine - Account - leandra@thekitchn.com; Janelle Hawthorne - Account - janelle@thekitchn.com; Allison Bartkus - Account - allison@thekitchn.com; Shannon Mosley - Software - shannon@thekitchn.com; Chris Wolff - Software - chris@thekitchn.com; Elaine Harman - Engineering - elaine@thekitchn.com; Justin Blecher - Engineering - justin@thekitchn.com; Jean Simon - Engineering - jean@thekitchn.com; Caroline Gelbard - Other - caroline@thekitchn.com; Susannah Sachdeva - Other - susannah@thekitchn.com; Grace McCaffrey - Other - grace@thekitchn.com; Adam Miller - Other - adam@thekitchn.com; Lindsay Ribe - Other - lindsay@thekitchn.com; Jonathan Sabal - Other - jonathan@thekitchn.com; Henry Chen - Other - henry@thekitchn.com; Andrew Berry - Other - andrew@thekitchn.com; Kelsey Arnold - Other - kelsey@thekitchn.com; Kevin Hughes - Other - kevin@thekitchn.com; Chris Cortimiglia - Other - chris@thekitchn.com; Justin Young - Other - justin@thekitchn.com; Alyse Weber - Other - alyse@thekitchn.com; Rachel Hathaway - Other - rachel@thekitchn.com; Stephen Sauceda - Other - stephen@thekitchn.com; Amanda Duff - Marketing - amanda@thekitchn.com; Erin McKay - Marketing - erin@thekitchn.com; Cheryl Williams - Sales - cheryl@thekitchn.com; Ariel Pietrobono - Sales - ariel@thekitchn.com; Bryan Katz - Sales - bryan@thekitchn.com; Mike Jenkins - Sales - mike@thekitchn.com; Daniela Garcia - Sales - daniela@thekitchn.com; Gina Johnson - Sales - gina@thekitchn.com; Samantha Bolton - Director - samantha@thekitchn.com; Liz Cronin - Director - liz@thekitchn.com; Anna Hoffman - Director - anna@thekitchn.com; Elise Hinchey - Director - elise@thekitchn.com; Nora Grenfell - Director - nora@thekitchn.com; Annie Carroll - Director - annie@thekitchn.com; Lisa Freedman - Director - lisa@thekitchn.com; Amy Schoenfeld - Director - amy@thekitchn.com; Candice Reggi - Director - candice@thekitchn.com; Curtis Thompson - Director - curtis@thekitchn.com; Lee Art - Director - lee@thekitchn.com; Melissa Harrison - Director - melissa@thekitchn.com; Anna Mejorada - Director - anna@thekitchn.com; Andrew Forcier - Manager - andrew@thekitchn.com; Kaitlin Flannery - Manager - kaitlin@thekitchn.com; Charlotte Parker - Manager - charlotte@thekitchn.com; Vijay Nathan - Manager - vijay@thekitchn.com; Jane Wood - Manager - jane@thekitchn.com; Vanessa Warlow - Manager - vanessa@thekitchn.com; Hillary Halter - Manager - hillary@thekitchn.com; Daria Perrone - Manager - daria@thekitchn.com; Molly Cassity - Manager - molly@thekitchn.com; Meghan Smith - Manager - meghan@thekitchn.com; Andre Webster - Manager - andre@thekitchn.com; Lauren Orkus - Manager - lauren@thekitchn.com; Chris Phillips - President - chris@thekitchn.com; Lauren Murphy - President - lauren@thekitchn.com; Maxwell Ryan - Csuite - maxwell@thekitchn.com; Ken Green - Csuite - ken@thekitchn.com; Tom Plunkett - Csuite - tom@thekitchn.com; Susan Kaplow - Csuite - susan@thekitchn.com; Riva Syrop - Csuite - riva@thekitchn.com; Mark Wilkie - Csuite - mark@thekitchn.com; Maxwell Ryan - Other - maxwell@thekitchn.com","New York City","NY","10012","US","2019-04-16","2019-06-18","2011-01-03","2019-06-23","-","Non-EU"
"theonion.com","theonion.com","$10000","Onion Inc","Food And Drink","209","5427","1173","6431","ph:+1-312-751-4137","advertising@theonion.com;publicfeedback@theonion.com;archive@theonion.com;permissions@theonion.com;press@theonion.com;jhenry@theonion.com;asktheavclub@theonion.com;tech@theonion.com;avcqa@theonion.com;mmcavoy@theonion.com;shannah@theonion.com;gateways@theonion.com;chicago@theonion.com;vip@theonion.com;avclub@theonion.com;nypromo@theonion.com;nyc@theonion.com;trendingtips@theonion.com;greatjob@theonion.com;ochicago@theonion.com;legal@theonion.com","https://twitter.com/theonion","https://facebook.com/theonion","","https://google.com/+theonion","https://pinterest.com/theonion","","https://instagram.com/theonion","","","https://youtube.com/user/theonion","Will Feinstein - Director - wfeinstein@theonion.com; Danny Mulligan - Manager - dmulligan@theonion.com; Rick Livingston - Manager - rlivingston@theonion.com; David Hunter - Manager - dhunter@theonion.com; Iris Lin - President - ilin@theonion.com; Mike McAvoy - President - mmcavoy@theonion.com; Rick Hamann - President - rhamann@theonion.com; Kurt Mueller - President - kmueller@theonion.com; George Zwierzynski - President - gzwierzynski@theonion.com","","","","","2017-10-05","2019-06-13","2011-01-03","2019-06-26","-","Non-EU"
"thepennyhoarder.com","thepennyhoarder.com/*","$1000","Taylor Media Corp","Finance","1082","18342","16349","19765","ph:","askkyle@thepennyhoarder.com;media@thepennyhoarder.com;advertise@thepennyhoarder.com;editor@thepennyhoarder.com;press@thepennyhoarder.com;feedback@thepennyhoarder.com","https://twitter.com/thepennyhoarder","https://facebook.com/thepennyhoarder","https://linkedin.com/company/thepennyhoarder","","https://pinterest.com/thepennyhoarder","","https://instagram.com/thepennyhoarder","","","","Vishal Mahtani - President - noemail; Taylor Kyle - Founder - noemail; Kyle Taylor - Founder - noemail; Kyle Taylor - Other - noemail","Pompano Beach","FL","33062","US","2018-02-16","2019-06-18","2011-09-04","2019-06-23","-","Non-EU"
"theverge.com","theverge.com","$10000","The Verge","Technology And Computing","140","623","195","4343","ph:+1-202-591-1140;+1-800-549-1744;+1-800-952-5210;+1-800-862-2877","nilay@theverge.com;joshua@theverge.com;james.chae@theverge.com;ontheverge@theverge.com;rsvp@theverge.com;david@theverge.com;paul@theverge.com;charlesiii@theverge.com;dieter@theverge.com;tom@theverge.com;dan.seifert@theverge.com;pine.lnx.4.10.9910261337380.7863-100000@theverge.com;pine.lnx.4.04.9910290910200.16607-100000@theverge.com;sean@theverge.com;laura@theverge.com;aaron@theverge.com;chris@theverge.com;bryan@theverge.com;casey@theverge.com;tc@theverge.com","https://twitter.com/verge","https://facebook.com/verge","","https://google.com/+theverge","https://pinterest.com/theverge","","https://instagram.com/verge","","","https://youtube.com/user/theverge","James Vincent - Bizdev - james@theverge.com; Thuy Ong - Bizdev - thuy@theverge.com; Laura Hudson - Bizdev - laura@theverge.com; Beth Griggs - Bizdev - beth@theverge.com; Chris Ziegler - Bizdev - chris@theverge.com; Cameron Faulkner - Bizdev - cameron@theverge.com; Nick Statt - Software - nick@theverge.com; Ruth Stranges - Marketing - ruth@theverge.com; Marty Moe - Director - marty@theverge.com; Max Jeffrey - Director - max@theverge.com; Pablo Mercado - Director - pablo@theverge.com; Ryan Gantz - Director - ryan@theverge.com; Ted Irvine - Director - ted@theverge.com; John Lagomarsino - Director - john@theverge.com; Chad Mumm - Manager - chad@theverge.com; Esther Cohen - Manager - esther@theverge.com; Michael Lovitt - President - michael@theverge.com; Lauren Fisher - President - lauren@theverge.com; Jim Bankoff - Csuite - jim@theverge.com; Tyler Bleszinski - Founder - tyler@theverge.com","Washington","DC","20036","US","2016-03-20","2019-06-01","2011-09-11","2019-06-26","-","Non-EU"
"theweek.com","theweek.com","$5000","The Week","Finance","219","16497","1846","15347","ph:+1-646-728-9715;+1-877-245-8151;+1-646-717-9500;+1-877-231-2450","copyright@theweek.com;oconnor@theweek.com;gayomali@theweek.com;toughlove@theweek.com;koorbusch@theweek.com;speedreads@theweek.com;rollins@theweek.com;ipad@theweek.com;weber@theweek.com;socialmedia@theweek.com;whatnext@theweek.com;miranda@theweek.com;subscriptions@theweek.com;bechert@theweek.com;frumin@theweek.com;badopinions@theweek.com;altschul@theweek.com;morgan@theweek.com;spaeth@theweek.com;stiller@theweek.com","https://twitter.com/theweek","https://facebook.com/theweek","","","","","","","","","Van Doan - Other - vdoan@theweek.com; Rupert Ward - Manager - rward@theweek.com; Chelsea Manning - President - cmanning@theweek.com; David Cox - President - dcox@theweek.com; John Lounsbery - Other - jlounsbery@theweek.com","Tampa","FL","33662","US","2018-08-05","2019-06-01","2011-01-03","2019-06-24","-","Non-EU"
